backbone,video_id,safe,near-crash,crash,argmax
clip_vitb32,-2PbLgrSGfc,17.5614,18.4516,17.0374,near-crash
clip_vitb32,2ykoE_FyWpI,18.0283,21.8401,20.1645,near-crash
clip_vitb32,NqiIYzetr6g,22.3485,22.7695,23.1420,crash
clip_vitb32,TIxUylmJeh4,23.3158,20.8706,22.2052,safe
clip_vitb32,Wc8mgFUCLsM,17.9107,19.8999,24.5660,crash
clip_vitb32,ZPv9uEcdrGI,21.5670,21.7068,24.0483,crash
clip_vitb32,mMImGwGp_LY,20.7832,20.2348,21.2325,crash
clip_vitb32,v3HZHgZfU6M,21.6575,19.6530,20.9528,safe
clip_vitb32,w6ZUtZ3yYeA,21.5705,23.2292,21.3792,near-crash
clip_vitb32,xuXJVzOMu0I,13.8215,19.5435,23.8829,crash
clip_vitl14,-2PbLgrSGfc,14.1897,15.9491,16.0355,crash
clip_vitl14,2ykoE_FyWpI,17.3461,19.3644,19.9486,crash
clip_vitl14,NqiIYzetr6g,20.7975,19.9438,23.0953,crash
clip_vitl14,TIxUylmJeh4,18.6285,17.7750,19.5388,crash
clip_vitl14,Wc8mgFUCLsM,16.5590,17.4051,20.9235,crash
clip_vitl14,ZPv9uEcdrGI,19.6366,18.4643,21.1773,crash
clip_vitl14,mMImGwGp_LY,15.9589,17.3412,18.2322,crash
clip_vitl14,v3HZHgZfU6M,19.1358,17.2096,17.8179,safe
clip_vitl14,w6ZUtZ3yYeA,18.2827,20.1584,16.7197,near-crash
clip_vitl14,xuXJVzOMu0I,17.5290,18.2215,22.5946,crash
siglip_b16,-2PbLgrSGfc,-3.7844,-3.4573,-3.2850,crash
siglip_b16,2ykoE_FyWpI,-4.3071,-5.8505,-3.3745,crash
siglip_b16,NqiIYzetr6g,-4.7376,-4.0819,-3.2752,crash
siglip_b16,TIxUylmJeh4,-5.2178,-4.0941,-2.7660,crash
siglip_b16,Wc8mgFUCLsM,0.7723,-1.5817,-5.4897,safe
siglip_b16,ZPv9uEcdrGI,-1.2858,-6.5010,-1.5163,safe
siglip_b16,mMImGwGp_LY,-2.5238,-4.7546,-4.4678,safe
siglip_b16,v3HZHgZfU6M,-6.3915,-5.6974,-4.8703,crash
siglip_b16,w6ZUtZ3yYeA,0.6538,-3.3800,-3.7507,safe
siglip_b16,xuXJVzOMu0I,-5.6425,-5.2855,-3.4622,crash
