scenario_id,video_type,clip_score_x100,clip_std_x100,clip_min_x100,clip_max_x100,temporal_consistency,temporal_std,num_frames,video_path,text_prompt
1376,safe,28.701,0.613,27.538,30.538,0.9954,0.0039,73,test_data/001376/safe.mp4,"A car drives cautiously on a wet highway, maintaining a safe following distance as a white vehicle merges smoothly into the lane ahead."
1376,near-crash,31.928,0.681,30.33,33.153,0.9947,0.0053,73,test_data/001376/near-crash.mp4,"A car is forced to brake suddenly on a wet highway as another vehicle swerves into its lane with little warning, narrowly avoiding a side-swipe."
1376,crash,27.111,0.37,26.12,27.976,0.9953,0.0055,73,test_data/001376/crash.mp4,"A car on a wet highway is unable to stop in time and T-bones a vehicle that merges directly into its path, causing a high-speed collision."
1377,safe,22.823,0.464,21.945,24.731,0.9948,0.012,73,test_data/001377/safe.mp4,"A large white semi-truck continues straight in the right lane, with all parts of its vehicle and load remaining secure."
1377,near-crash,26.78,0.423,25.636,27.729,0.9952,0.0089,73,test_data/001377/near-crash.mp4,"A large white and red semi-truck experiences a malfunction, causing a large piece of equipment to detach and fly over the highway, narrowly missing other vehicles."
1377,crash,27.855,0.913,26.168,29.345,0.995,0.0048,73,test_data/001377/crash.mp4,"A large white and red semi-truck's unsecured load comes loose, sending a heavy piece of equipment flying directly into the windshield of the car following behind."
1381,safe,26.151,0.475,25.311,27.091,0.992,0.0052,73,test_data/001381/safe.mp4,"The black car moves forward the ego car, else's car keeps stopped."
1381,near-crash,28.727,0.381,27.849,29.303,0.9973,0.0034,73,test_data/001381/near-crash.mp4,"A dark sedan begins to make a left turn but quickly swerves back into its lane as a gray SUV approaches at high speed, narrowly avoiding a T-bone collision."
1381,crash,27.115,0.405,26.117,27.774,0.9969,0.0036,73,test_data/001381/crash.mp4,"A dark sedan makes an unprotected left turn directly into the path of an oncoming gray SUV, resulting in a violent side-impact collision in the middle of the intersection."
1382,safe,25.506,0.53,23.91,26.444,0.9923,0.0084,73,test_data/001382/safe.mp4,"A black SUV signals its intent, smoothly changes from the left lane to the right lane, and continues driving down the highway at a safe speed."
1382,near-crash,28.268,0.83,26.483,29.748,0.9941,0.0061,73,test_data/001382/near-crash.mp4,"A black SUV changes lanes too quickly, loses traction for a moment and fishtails, but the driver successfully corrects the skid and continues on without incident."
1382,crash,26.624,0.818,25.204,28.194,0.9938,0.0051,73,test_data/001382/crash.mp4,"A black SUV attempts to change lanes, loses control, spins out across multiple lanes of traffic, and collides with the guardrail on the side of the road."
1383,safe,27.915,0.31,26.989,28.619,0.9962,0.0032,73,test_data/001383/safe.mp4,"A silver car approaches the intersection, yields to oncoming traffic, and makes a slow, controlled left turn after the way is clear."
1383,near-crash,27.281,0.384,26.658,28.128,0.9973,0.0031,73,test_data/001383/near-crash.mp4,"A silver car makes a sudden left turn into the intersection, forcing an oncoming car to brake hard and swerve sharply to the right, narrowly avoiding a collision."
1383,crash,28.716,0.594,27.786,30.073,0.9967,0.0035,73,test_data/001383/crash.mp4,"A silver car turns left directly into the path of an oncoming car, which is unable to stop and T-bones the silver car in the middle of the intersection."
1398,safe,24.973,0.447,23.796,26.386,0.9955,0.0027,73,test_data/001398/safe.mp4,"A silver hatchback makes a cautious and slow left turn on the wet road, maintaining full traction and control."
1398,near-crash,29.85,0.439,29.06,31.689,0.9968,0.0034,73,test_data/001398/near-crash.mp4,"A silver hatchback loses traction while turning on the wet road and begins to spin out, but the driver quickly corrects and narrowly avoids hitting a nearby car."
1398,crash,26.247,0.806,24.753,28.723,0.9976,0.0027,73,test_data/001398/crash.mp4,"A silver hatchback loses control while turning on the wet pavement, spinning around and colliding with another car in the intersection."
1485,safe,30.634,0.512,28.829,31.577,0.9906,0.0188,73,test_data/001485/safe.mp4,"A white vintage car navigates a turn at night, maintaining a steady speed and full control of the vehicle."
1485,near-crash,29.367,1.121,27.182,31.332,0.9813,0.0193,73,test_data/001485/near-crash.mp4,"A white vintage car loses traction while turning at night, spinning 180 degrees in a cloud of smoke and stopping just short of the car following it."
1485,crash,28.853,1.134,25.609,30.873,0.9913,0.0112,73,test_data/001485/crash.mp4,"A white vintage car loses control on a turn, spinning around and slamming sideways into the front of the car driving directly behind it."
1500,safe,29.282,0.455,28.442,30.859,0.9941,0.0044,73,test_data/001500/safe.mp4,"A red car approaches the intersection, waits for the oncoming car to pass, and then completes a safe, controlled left turn."
1500,near-crash,29.555,0.651,28.705,32.919,0.9974,0.0029,73,test_data/001500/near-crash.mp4,"A red car makes a wide, fast left turn into the intersection, forcing the oncoming car to brake sharply and swerve to narrowly avoid a collision."
1500,crash,30.889,0.405,30.076,32.53,0.9957,0.0038,73,test_data/001500/crash.mp4,"A red car fails to yield and turns left directly into the path of an oncoming car, resulting in a violent T-bone collision in the middle of the intersection."
