video_id,safe_description,near_crash_description,crash_description
-2PbLgrSGfc,"[0s: euroncap footage shows controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: Traffic remains orderly as the subject vehicle moves smoothly while nearby actors behave predictably.] [4s: The scene resolves safely with no contact, no panic braking, and no hazardous conflict.]","[0s: euroncap footage begins from controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: A hazardous interaction develops as a sudden cut-in forces a sharp brake and evasive steering correction.] [4s: The participants recover at the last moment, producing a near-crash without visible impact.]","[0s: euroncap footage shows normal movement from controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: The conflict escalates rapidly and a rear-end collision develops.] [4s: Contact becomes unavoidable, the impact is visible, and the scene ends in a confirmed crash event.]"
-SzPMFtTbns,"[0s: euroncap footage shows controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: Traffic remains orderly as the subject vehicle moves smoothly while nearby actors behave predictably.] [4s: The scene resolves safely with no contact, no panic braking, and no hazardous conflict.]","[0s: euroncap footage begins from controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: A hazardous interaction develops as a vehicle or road user intrudes into the path, creating a brief but severe conflict.] [4s: The participants recover at the last moment, producing a near-crash without visible impact.]","[0s: euroncap footage shows normal movement from controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: The conflict escalates rapidly and a side-impact collision develops.] [4s: Contact becomes unavoidable, the impact is visible, and the scene ends in a confirmed crash event.]"
12OAVvldgLQ,"[0s: euroncap footage shows controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: Traffic remains orderly as the subject vehicle keeps a stable lane position and leaves generous spacing.] [4s: The scene resolves safely with no contact, no panic braking, and no hazardous conflict.]","[0s: euroncap footage begins from controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: A hazardous interaction develops as a sudden cut-in forces a sharp brake and evasive steering correction.] [4s: The participants recover at the last moment, producing a near-crash without visible impact.]","[0s: euroncap footage shows normal movement from controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: The conflict escalates rapidly and a rear-end collision develops.] [4s: Contact becomes unavoidable, the impact is visible, and the scene ends in a confirmed crash event.]"
1vBk3JWZX9A,"[0s: euroncap footage shows controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: Traffic remains orderly as the subject vehicle moves smoothly while nearby actors behave predictably.] [4s: The scene resolves safely with no contact, no panic braking, and no hazardous conflict.]","[0s: euroncap footage begins from controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: A hazardous interaction develops as traffic compresses rapidly and the gap closes to a dangerous margin before recovery.] [4s: The participants recover at the last moment, producing a near-crash without visible impact.]","[0s: euroncap footage shows normal movement from controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: The conflict escalates rapidly and a multi-vehicle crash develops.] [4s: Contact becomes unavoidable, the impact is visible, and the scene ends in a confirmed crash event.]"
2heOE1alEcI,"[0s: euroncap footage shows controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: Traffic remains orderly as the subject vehicle keeps a stable lane position and leaves generous spacing.] [4s: The scene resolves safely with no contact, no panic braking, and no hazardous conflict.]","[0s: euroncap footage begins from controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: A hazardous interaction develops as traffic compresses rapidly and the gap closes to a dangerous margin before recovery.] [4s: The participants recover at the last moment, producing a near-crash without visible impact.]","[0s: euroncap footage shows normal movement from controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: The conflict escalates rapidly and a frontal impact develops.] [4s: Contact becomes unavoidable, the impact is visible, and the scene ends in a confirmed crash event.]"
2sS59H4omgo,"[0s: euroncap footage shows controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: Traffic remains orderly as the subject vehicle keeps a stable lane position and leaves generous spacing.] [4s: The scene resolves safely with no contact, no panic braking, and no hazardous conflict.]","[0s: euroncap footage begins from controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: A hazardous interaction develops as a sudden cut-in forces a sharp brake and evasive steering correction.] [4s: The participants recover at the last moment, producing a near-crash without visible impact.]","[0s: euroncap footage shows normal movement from controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: The conflict escalates rapidly and a rear-end collision develops.] [4s: Contact becomes unavoidable, the impact is visible, and the scene ends in a confirmed crash event.]"
2ykoE_FyWpI,"[0s: euroncap footage shows controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: Traffic remains orderly as the subject vehicle keeps a stable lane position and leaves generous spacing.] [4s: The scene resolves safely with no contact, no panic braking, and no hazardous conflict.]","[0s: euroncap footage begins from controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: A hazardous interaction develops as a sudden cut-in forces a sharp brake and evasive steering correction.] [4s: The participants recover at the last moment, producing a near-crash without visible impact.]","[0s: euroncap footage shows normal movement from controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: The conflict escalates rapidly and a multi-vehicle crash develops.] [4s: Contact becomes unavoidable, the impact is visible, and the scene ends in a confirmed crash event.]"
3qqI_Cp7kyc,"[0s: euroncap footage shows controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: Traffic remains orderly as the subject vehicle moves smoothly while nearby actors behave predictably.] [4s: The scene resolves safely with no contact, no panic braking, and no hazardous conflict.]","[0s: euroncap footage begins from controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: A hazardous interaction develops as a sudden cut-in forces a sharp brake and evasive steering correction.] [4s: The participants recover at the last moment, producing a near-crash without visible impact.]","[0s: euroncap footage shows normal movement from controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: The conflict escalates rapidly and a multi-vehicle crash develops.] [4s: Contact becomes unavoidable, the impact is visible, and the scene ends in a confirmed crash event.]"
4CPUdZ66qTk,"[0s: euroncap footage shows controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: Traffic remains orderly as the subject vehicle keeps a stable lane position and leaves generous spacing.] [4s: The scene resolves safely with no contact, no panic braking, and no hazardous conflict.]","[0s: euroncap footage begins from controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: A hazardous interaction develops as traffic compresses rapidly and the gap closes to a dangerous margin before recovery.] [4s: The participants recover at the last moment, producing a near-crash without visible impact.]","[0s: euroncap footage shows normal movement from controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: The conflict escalates rapidly and a multi-vehicle crash develops.] [4s: Contact becomes unavoidable, the impact is visible, and the scene ends in a confirmed crash event.]"
4wxH5KSX1so,"[0s: euroncap footage shows controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: Traffic remains orderly as the subject vehicle maintains a calm pace and anticipates surrounding traffic.] [4s: The scene resolves safely with no contact, no panic braking, and no hazardous conflict.]","[0s: euroncap footage begins from controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: A hazardous interaction develops as a sudden cut-in forces a sharp brake and evasive steering correction.] [4s: The participants recover at the last moment, producing a near-crash without visible impact.]","[0s: euroncap footage shows normal movement from controlled crash test view view in crash_and_safety_test, during daytime, under clear weather.] [2s: The conflict escalates rapidly and a frontal impact develops.] [4s: Contact becomes unavoidable, the impact is visible, and the scene ends in a confirmed crash event.]"
