video_id,safe_description,near_crash_description,crash_description
000017,[0s: Dashcam shows vehicle driving on a busy intersection during daytime under snowy conditions with reduced visibility. Traffic flows smoothly.] [2s: The vehicle maintains safe following distance. Other vehicles move predictably.] [4s: Journey continues without incident. All traffic signals obeyed and road remains clear.],[0s: A vehicle suddenly swerves into the lane on a two-lane highway during daytime under snowy conditions with reduced visibility.] [2s: The ego vehicle brakes hard and veers to avoid collision. The other vehicle corrects course just in time.] [4s: Both vehicles stabilize. A close call but no actual contact. Traffic resumes normally.],[0s: Dashcam records driving on a suburban avenue during daytime under snowy conditions with reduced visibility. Traffic appears normal.] [2s: A vehicle suddenly appears. The ego vehicle is involved in a side-swipe collision near frame 47.] [4s: The collision occurs with visible impact. Debris scatters across the road.]
000021,[0s: Dashcam shows vehicle driving on a multi-lane road during daytime under snowy conditions with reduced visibility. Traffic flows smoothly.] [2s: The vehicle maintains safe following distance. Other vehicles move predictably.] [4s: Journey continues without incident. All traffic signals obeyed and road remains clear.],[0s: A vehicle suddenly swerves into the lane on a residential street during daytime under snowy conditions with reduced visibility.] [2s: A nearby vehicle brakes hard and veers to avoid collision. The other vehicle corrects course just in time.] [4s: Both vehicles stabilize. A close call but no actual contact. Traffic resumes normally.],[0s: Dashcam records driving on a busy intersection during daytime under snowy conditions with reduced visibility. Traffic appears normal.] [2s: A vehicle suddenly appears. The ego vehicle witnesses a multi-vehicle pileup near frame 31.] [4s: The collision occurs with visible impact. Debris scatters across the road.]
000022,[0s: Dashcam shows vehicle driving on a busy intersection during daytime under clear weather. Traffic flows smoothly.] [2s: The vehicle maintains safe following distance. Other vehicles move predictably.] [4s: Journey continues without incident. All traffic signals obeyed and road remains clear.],[0s: A vehicle suddenly swerves into the lane on a downtown street during daytime under clear weather.] [2s: The ego vehicle brakes hard and veers to avoid collision. The other vehicle corrects course just in time.] [4s: Both vehicles stabilize. A close call but no actual contact. Traffic resumes normally.],[0s: Dashcam records driving on a two-lane highway during daytime under clear weather. Traffic appears normal.] [2s: A vehicle suddenly appears. The ego vehicle is involved in a rear-end collision near frame 44.] [4s: The collision occurs with visible impact. Debris scatters across the road.]
000042,[0s: Dashcam shows vehicle driving on a busy intersection during daytime under snowy conditions with reduced visibility. Traffic flows smoothly.] [2s: The vehicle maintains safe following distance. Other vehicles move predictably.] [4s: Journey continues without incident. All traffic signals obeyed and road remains clear.],[0s: A vehicle suddenly swerves into the lane on a multi-lane road during daytime under snowy conditions with reduced visibility.] [2s: The ego vehicle brakes hard and veers to avoid collision. The other vehicle corrects course just in time.] [4s: Both vehicles stabilize. A close call but no actual contact. Traffic resumes normally.],[0s: Dashcam records driving on a multi-lane road during daytime under snowy conditions with reduced visibility. Traffic appears normal.] [2s: A vehicle suddenly appears. The ego vehicle is involved in a multi-vehicle pileup near frame 35.] [4s: The collision occurs with visible impact. Debris scatters across the road.]
000046,[0s: Dashcam shows vehicle driving on a two-lane highway during nighttime under snowy conditions with reduced visibility. Traffic flows smoothly.] [2s: The vehicle maintains safe following distance. Other vehicles move predictably.] [4s: Journey continues without incident. All traffic signals obeyed and road remains clear.],[0s: A vehicle suddenly swerves into the lane on a multi-lane road during nighttime under snowy conditions with reduced visibility.] [2s: The ego vehicle brakes hard and veers to avoid collision. The other vehicle corrects course just in time.] [4s: Both vehicles stabilize. A close call but no actual contact. Traffic resumes normally.],[0s: Dashcam records driving on a downtown street during nighttime under snowy conditions with reduced visibility. Traffic appears normal.] [2s: A vehicle suddenly appears. The ego vehicle is involved in a side-swipe collision near frame 38.] [4s: The collision occurs with visible impact. Debris scatters across the road.]
000047,[0s: Dashcam shows vehicle driving on a rural road during daytime under clear weather. Traffic flows smoothly.] [2s: The vehicle maintains safe following distance. Other vehicles move predictably.] [4s: Journey continues without incident. All traffic signals obeyed and road remains clear.],[0s: A vehicle suddenly swerves into the lane on a suburban avenue during daytime under clear weather.] [2s: The ego vehicle brakes hard and veers to avoid collision. The other vehicle corrects course just in time.] [4s: Both vehicles stabilize. A close call but no actual contact. Traffic resumes normally.],[0s: Dashcam records driving on a two-lane highway during daytime under clear weather. Traffic appears normal.] [2s: A vehicle suddenly appears. The ego vehicle is involved in a side-swipe collision near frame 46.] [4s: The collision occurs with visible impact. Debris scatters across the road.]
000048,[0s: Dashcam shows vehicle driving on a downtown street during daytime under snowy conditions with reduced visibility. Traffic flows smoothly.] [2s: The vehicle maintains safe following distance. Other vehicles move predictably.] [4s: Journey continues without incident. All traffic signals obeyed and road remains clear.],[0s: A vehicle suddenly swerves into the lane on a highway on-ramp during daytime under snowy conditions with reduced visibility.] [2s: The ego vehicle brakes hard and veers to avoid collision. The other vehicle corrects course just in time.] [4s: Both vehicles stabilize. A close call but no actual contact. Traffic resumes normally.],[0s: Dashcam records driving on a suburban avenue during daytime under snowy conditions with reduced visibility. Traffic appears normal.] [2s: A vehicle suddenly appears. The ego vehicle is involved in a side-swipe collision near frame 44.] [4s: The collision occurs with visible impact. Debris scatters across the road.]
000051,[0s: Dashcam shows vehicle driving on a multi-lane road during nighttime under clear weather. Traffic flows smoothly.] [2s: The vehicle maintains safe following distance. Other vehicles move predictably.] [4s: Journey continues without incident. All traffic signals obeyed and road remains clear.],[0s: A vehicle suddenly swerves into the lane on a highway on-ramp during nighttime under clear weather.] [2s: A nearby vehicle brakes hard and veers to avoid collision. The other vehicle corrects course just in time.] [4s: Both vehicles stabilize. A close call but no actual contact. Traffic resumes normally.],[0s: Dashcam records driving on a busy intersection during nighttime under clear weather. Traffic appears normal.] [2s: A vehicle suddenly appears. The ego vehicle witnesses a rear-end collision near frame 44.] [4s: The collision occurs with visible impact. Debris scatters across the road.]
000054,[0s: Dashcam shows vehicle driving on a downtown street during daytime under snowy conditions with reduced visibility. Traffic flows smoothly.] [2s: The vehicle maintains safe following distance. Other vehicles move predictably.] [4s: Journey continues without incident. All traffic signals obeyed and road remains clear.],[0s: A vehicle suddenly swerves into the lane on a busy intersection during daytime under snowy conditions with reduced visibility.] [2s: A nearby vehicle brakes hard and veers to avoid collision. The other vehicle corrects course just in time.] [4s: Both vehicles stabilize. A close call but no actual contact. Traffic resumes normally.],[0s: Dashcam records driving on a highway on-ramp during daytime under snowy conditions with reduced visibility. Traffic appears normal.] [2s: A vehicle suddenly appears. The ego vehicle witnesses a head-on collision near frame 37.] [4s: The collision occurs with visible impact. Debris scatters across the road.]
000059,[0s: Dashcam shows vehicle driving on a suburban avenue during daytime under snowy conditions with reduced visibility. Traffic flows smoothly.] [2s: The vehicle maintains safe following distance. Other vehicles move predictably.] [4s: Journey continues without incident. All traffic signals obeyed and road remains clear.],[0s: A vehicle suddenly swerves into the lane on a two-lane highway during daytime under snowy conditions with reduced visibility.] [2s: The ego vehicle brakes hard and veers to avoid collision. The other vehicle corrects course just in time.] [4s: Both vehicles stabilize. A close call but no actual contact. Traffic resumes normally.],[0s: Dashcam records driving on a rural road during daytime under snowy conditions with reduced visibility. Traffic appears normal.] [2s: A vehicle suddenly appears. The ego vehicle is involved in a multi-vehicle pileup near frame 32.] [4s: The collision occurs with visible impact. Debris scatters across the road.]
